number,symbol,name,turkishName\n
1,H,Hydrogen,Hidrojen\n
2,He,Helium,Helyum\n
3,Li,Lithium,Lityum\n
4,Be,Beryllium,Berilyum\n
5,B,Boron,Bor\n
6,C,Carbon,Karbon\n
7,N,Nitrogen,Azot\n
8,O,Oxygen,Oksijen\n
9,F,Flor,Flor\n
10,Ne,Neon,Neon\n
