number,symbol,name,turkishName,tur,kutle,e-dizilimi,konum,faz;
67,Ho,Holmium,Holmiyum,lanthanoids,164.9303,[Xe] 4f11 6s2,,Solid;
68,Er,Erbium,Erbiyum,lanthanoids,167.259,[Xe] 4f12 6s2,,Solid;
69,Tm,Thulium,Tulyum,lanthanoids,168.9342,[Xe] 4f13 6s2,,Solid;
70,Yb,Ytterbium,İterbiyum,lanthanoids,173.04,[Xe] 4f14 6s2,,Solid;
71,Lu,Lutetium,Lutetyum,lanthanoids,174.967,[Xe] 4f14 5d1 6s2,,Solid;
72,Hf,Hafnium,Hafniyum,gecismetal,178.49,[Xe] 4f14 5d2 6s2,,Solid;
73,Ta,Tantalum,Tantal,gecismetal,180.9479,[Xe] 4f14 5d3 6s2,,Solid;
74,W,Tungsten,Volfram,gecismetal,183.84,[Xe] 4f14 5d4 6s2,,Solid;
75,Re,Rhenium,Renyum,gecismetal,186.207,[Xe] 4f14 5d5 6s2,,Solid;
76,Os,Osmium,Osmiyum,gecismetal,190.23,[Xe] 4f14 5d6 6s2,,Solid;
77,Ir,Iridium,İridyum,gecismetal,192.217,[Xe] 4f14 5d7 6s2,,Solid;
78,Pt,Platinum,Platin,gecismetal,195.078,[Xe] 4f14 5d9 6s1,,Solid;
79,Au,Gold,Altın,gecismetal,196.9665,[Xe] 4f14 5d10 6s1,,Solid;
80,Hg,Mercury,Cıva,gecismetal,200.59,[Xe] 4f14 5d10 6s2,,Liquid;
81,Tl,Thallium,Talyum,metal,204.3833,[Xe] 4f14 5d10 6s2 6p1,,Solid;
82,Pb,Lead,Kurşun,metal,207.2,[Xe] 4f14 5d10 6s2 6p2,,Solid;
83,Bi,Bismuth,Bizmut,metal,208.9804,[Xe] 4f14 5d10 6s2 6p3,,Solid;
84,Po,Polonium,Polonyum,metal,209,[Xe] 4f14 5d10 6s2 6p4,,Solid;
85,At,Astatine,Astatin,halojen,210,[Xe] 4f14 5d10 6s2 6p5,,Solid;
86,Rn,Radon,Radon,soygaz,222,4f14 5d10 6s2 6p6,,Gas;
87,Fr,Francium,Fransiyum,metal,223,[Rn] 7s1,,Solid;
88,Ra,Radium,Radyum,metal,226,[Rn] 7s2,,Solid;
89,Ac,Actinium,Aktinyum,actinoids,227,[Rn] 6d1 7s2,,Solid;
90,Th,Thorium,Toryum,actinoids,232.0381,[Rn] 6d2 7s2,,Solid;
91,Pa,Protactinium,Protaktinyum,actinoids,231.0359,[Rn] 5f2 6d1 7s2,,Solid;
92,U,Uranium,Uranyum,actinoids,238.0289,[Rn] 5f3 6d1 7s2,,Solid;
93,Np,Neptunium,Neptünyum,actinoids,237,[Rn] 5f4 6d1 7s2,,Solid;
